"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"0","2025/01/31","ラクテンカ-ドサ-ビス","-270048","楽天銀行","現金・カード","カード引き落とし","","1","d94rtcHp8qdOXwGaGCdghpPvG51ibsqQHQmtD7uGoFA"
"0","2025/01/31","スエタケ シユウヘイ","270000","楽天銀行","未分類","未分類","","1","VfpWhrRQaxphmohlkpyh-avtyWXYZPuK864iqeWfNsE"
"1","2025/01/31","PayPay C’s coffee","-550","PayPayカード","食費","カフェ","","0","pEvHHyj9DhYHCvImc71KyeXIvV8vORsNH27hv5VxOWQ"
"1","2025/01/31","PayPay フレッシュネスバーガー","-1470","PayPayカード","食費","食費","","0","kLa3VJv33Co0cqkkIuWUXBE_Mll2024_mMCAJgdzYK0"
"1","2025/01/31","PayPay ドラッグストアセキ","-3766","PayPayカード","日用品","ドラッグストア","","0","PMIBGhQjAqPaCSq1II3j22rkSDuUrWBs1HS632-o5Yc"
"1","2025/01/31","為替手数料 フリコミ テスウリヨウ","-154","三菱UFJ銀行","その他","雑費","","0","iuHYUhZUpgcj53S58FEEHdLpyetKHYlF4k9_c6QJRy4"
"1","2025/01/31","振込IB2 エアウオ-タ-ヒガシニホン","-18681","三菱UFJ銀行","水道・光熱費","ガス・灯油代","","0","kOqzhhDcC_7C3e92dADMRneJSZ_-FzO_opxRnWCq9io"
"1","2025/01/31","デビット1 102761 COMOTA","-300","三菱UFJ銀行","食費","食料品","","0","DcdQvdAfNjjsge5oAFHUZu0FoG7KhTCSrf9LIrRL86E"
"1","2025/01/31","為替手数料 フリコミ テスウリヨウ","-220","三菱UFJ銀行","その他","雑費","","0","jyxj7W9YVSdzAxnAUsslPdnCuTeeQ5kbYRMELPqiOCA"
"1","2025/01/31","振込IB2 カ)エスケ-コ-ム","-2200000","三菱UFJ銀行","その他","返済","","0","Rs2E-XZybuL25AP9KTOCRrOfz7bhDcSgMhSei1hFgd4"
"1","2025/01/31","振込IB1 アコム(カ","-128000","三菱UFJ銀行","その他","返済","","0","Op_WilzIzfOYXwtuxl_pI0C7qS6F5_OyCfwDGwNOb5g"
"0","2025/01/31","振込IB2 スエタケ シユウヘイ","-270000","三菱UFJ銀行","未分類","未分類","","1","DUZ-8X3xkbVi3t-ZJVpO2TK7HF_MnX0xytYQoEV8LgA"
"1","2025/01/31","振込1 ニシノ ミキ","3000000","三菱UFJ銀行","収入","借入金","","0","bTc8mMHF57LA8JbPp_GOf-uFP7u6xfW00zIO4cat1KY"
"1","2025/01/30","PayPay セブンーイレブン","-573","PayPayカード","食費","食料品","","0","9k4NqtVu7BLGnxpNINeb8p8y6F_bGBCiKneBl4vXWQ4"
"1","2025/01/28","PayPay BEANS EXPRESS","-2000","PayPayカード","食費","食料品","","0","mZ9FCH8RL-TvHNQKCDdWGd3Z4ivG2BQnavqL0cCk4Ys"
"1","2025/01/28","サトウアツシ","-2980","楽天カード","通信費","情報サービス","","0","nhG6urh8QmTzStpVtofbDNUaIMOuF8EwlBeA-D-J_NI"
"1","2025/01/28","ケンタッキーフライドチキン/iD","-1250","三井住友カード","食費","食費","","0","B4kv_MJvQKVTACdJ_KdbYEJT0l1EHRUfBjRNEgDny04"
"1","2025/01/28","GOOGLE *GOOGLE ONE (650-253-0000 )","-250","三井住友カード","通信費","情報サービス","","0","dXQk5nLeBEmjQ0osmIHJMz3fTjGC6o2VmDUYc3qDSqE"
"1","2025/01/27","PayPay 吉野家","-839","PayPayカード","食費","食費","","0","G1cbNLi8tjDN9WVC13KfzIab-v829mPe-fG96CahrIE"
"1","2025/01/27","セブン-イレブン/iD","-1340","三井住友カード","食費","食料品","","0","_X8ncLXhf7B8JAnCZrabBSfqO8ph1JiUIJR8bEsrogM"
"1","2025/01/27","ソフトバンクワイモバイルまとめて支払い","-1026","三井住友カード","通信費","携帯電話","","0","tgQJGYFL-7c45NfY51n4fnZco7w80wZIfc01AkmdRg8"
"1","2025/01/26","セブン-イレブン/iD","-120","三井住友カード","食費","食料品","","0","jXu3GO91D68lcid_TUgBGevhWRa4cQFPcqmc5HnaxH4"
"1","2025/01/26","セブン-イレブン/iD","-952","三井住友カード","食費","食料品","","0","8cKMiAMUpmegEsbwpe7CBLrgusDgIZVPWMX9JdW3XGQ"
"1","2025/01/26","OPENAI *CHATGPT SUBSCR (SAN FRANCISCO)","-3481","三井住友カード","通信費","AI","","0","73HksGtAXKBgzom0pI2f_rHfRAv06qXDuqorwubjEgE"
"1","2025/01/26","カフェアンドギヤラリー 温々","-5511","三井住友カード","食費","カフェ","","0","5vyCoU68whq6dEHt67ubJKevbG2u_STCdxTK_iRtpmw"
"1","2025/01/26","ENEOS-SS","-3000","三井住友カード","自動車","ガソリン","","0","S_MD9yyl7pZuVQc3tRnVJSTQgTDpdnKL8qRKr9UO3uk"
"1","2025/01/25","ベストキツズプロジエクト","-14960","楽天カード","日用品","子育て用品","","0","VMYudo1aqsHO-99UKUZwzZhYfqn9OAp9Hx59DaRDGvI"
"1","2025/01/25","ジヤパンミ-トヒガシウラワ","-4394","楽天カード","食費","食料品","","0","DaLzu2WB8bij_E4cJ54KygiaVH5i4H8tnF9wC7jyksU"
"1","2025/01/24","ドラッグストアセキ大間木店/iD","-1309","三井住友カード","日用品","ドラッグストア","","0","iMTqjXRG8nr--DZZ4hcJdie1zDa-_et9HNrIczMI6Wg"
"1","2025/01/24","ドラッグストアセキ大間木店/iD","-3548","三井住友カード","日用品","ドラッグストア","","0","_OHJPKMC0mpQqULnYCKUPxqujrWOFKUNAvisjUcmHCg"
"1","2025/01/24","ファミリーマート/iD","-1380","三井住友カード","食費","食料品","","0","Nh_MFKuvpRJpVmdT9ES8IABeY3yGr0sY2DMQx3Ej3vs"
"1","2025/01/24","ビッグ・エーさいたま芝原","-2477","三井住友カード","食費","食料品","","0","R5X5dZkpkKg1QZCGKov1KuJJf8U9Pt1THv7aOc8DHiw"
