"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/08/31","PayPay セブンーイレブン","-924","PayPayカード","食費","食料品","","0","mBFSJXxaYZYT7_UPK0l8745WcLZUyxDEvJ9xAcoYZSk"
"1","2024/08/31","Surprise School","-48520","三井住友カード","未分類","未分類","","0","VIM2sVv1GVw8AgHrgIfBFsd0-dm9YxcJUvAfZN_Jloc"
"1","2024/08/31","リパーク蕨中央4丁目","-600","三井住友カード","自動車","駐車場","","0","XL6ihC2EJLoOGqTjCDFNdpKg_k_68TSOVs0ZNk_zduU"
"1","2024/08/30","PayPay ファミリーマート","-1160","PayPayカード","食費","食料品","","0","yOKsIYQrEUDIM2W9Yw3Rcujalv1eI_9pKfIMPCVfZbA"
"1","2024/08/30","PayPay ドラッグストアセキ","-3293","PayPayカード","日用品","ドラッグストア","","0","XFRRmqEDclTgAz9u79NBO9oW-LCaCKipXBEuL9Bo8gk"
"1","2024/08/30","コカ・コーラ Cmode 自販機/iD","-140","三井住友カード","食費","食料品","","0","Iyggw2qIt1bgy7H2LFid7bIZNFetwqCQWbEUcytKago"
"1","2024/08/30","ENEOS-SS","-3000","三井住友カード","自動車","ガソリン","","0","yk9fWXa-C9ucQb0GSwEOvJTNFtklfmaGvqrxbG7I-jE"
"1","2024/08/29","PayPay 吉野家","-987","PayPayカード","食費","食費","","0","kL-7khEcryMSxW3qEM3Hz2etQQ6HoQv-NzlAo1_O2ZY"
"1","2024/08/29","PayPay ファミリーマート","-1160","PayPayカード","食費","食料品","","0","iCpIQk64ECACZjyR1wvYuwgHNwdfQAPDEJcjR2PkIHs"
"1","2024/08/29","焼肉食堂まんぷく川口道合店/iD","-2453","三井住友カード","食費","外食","","0","3_ab_9Izuf3YbD5NODfVliDBr9cJV3zTAlcfebjooPo"
"1","2024/08/28","PayPay ファミリーマート","-1160","PayPayカード","食費","食料品","","0","lrOdUkf7hlN6cpE99sKHwqPKvv9jQWNXQTbKJuAPWj0"
"1","2024/08/28","コカ・コーラ Cmode 自販機/iD","-140","三井住友カード","食費","食料品","","0","ULhaJsInibxXv0yZFrN2wuhs7Q6WSv5A2VxDiy5RZKI"
"1","2024/08/28","GOOGLE *GOOGLE ONE (650-253-0000 )","-250","三井住友カード","通信費","情報サービス","","0","ZacG3zqYYSnSEdTR1xESRIoT6zSzb_7cL_PIpBQU8dQ"
"1","2024/08/27","PayPay セブンーイレブン","-1160","PayPayカード","食費","食料品","","0","eaxyCgqMOej6fTL50sKqALO5iEzkQ4NHR_xvj4wyoJk"
"1","2024/08/27","PayPay 087 cafe&bist","-1200","PayPayカード","未分類","未分類","","0","AyrTLY0cywsKO1vBY7OmcfEyP9dSlndCxUtFftAKhUI"
"1","2024/08/27","ソフトバンクワイモバイルまとめて支払い","-1026","三井住友カード","通信費","携帯電話","","0","3TNWdySc5gjL768DS0uaPA4VjiuXMbyErEZgGW3IRRg"
"1","2024/08/26","PayPay ビッグエー6040さいたま","-812","PayPayカード","未分類","未分類","","0","nheKIUXtRFnKgKUW7mjhNjoArbx2BAiZRELC4-_hddk"
"1","2024/08/26","マクドナルドモバイルオーダー/AP","-1030","三井住友カード","食費","外食","","0","zJwvMpK1ML0k-6ELp1O1uf7xZU2A6KYZxY-yksenkyk"
"0","2024/08/26","口座振替3 ミツイスミトモカ-ド","-286332","三菱UFJ銀行","現金・カード","カード引き落とし","","1","8lYJbH5qTX-pFm3AXgRZP9JeeNubGUAVHsqQ7j7IYfQ"
"1","2024/08/26","振込1 スエタケ シユウヘイ","290000","三菱UFJ銀行","未分類","未分類","","0","dAbC8XYMRrkrUogJq21j8ZAql9cWFH23jPuk6KC2n1Q"
"1","2024/08/25","PayPay セブンーイレブン","-1160","PayPayカード","食費","食料品","","0","hc8b8poqlvnVPDV5tN2OeZlCT798C4CFAV89-9AcKZY"
"1","2024/08/25","ベストキツズプロジエクト","-14960","楽天カード","日用品","子育て用品","","0","L7cWpgMUFffShbA2lwjqB7qUETh1yZcUd_H_XoxkpbE"
"1","2024/08/25","コカ・コーラ Cmode 自販機/iD","-150","三井住友カード","食費","食料品","","0","zamkIz7lc0fwICb9bkuxwVq8ktGEhoG3aF124C7lq7M"
"1","2024/08/25","コカ・コーラ Cmode 自販機/iD","-160","三井住友カード","食費","食料品","","0","Tze-rV1A_rvraXbFuvGnbkWuR_jQGIHqGLrEGHCGdB4"
"1","2024/08/25","プレミアムウオ―タ―","-3974","三井住友カード","食費","食費","","0","iDTaffmdH4U7CCE_CrKTl4sCFGOy8wCg8d-bB6yb_s4"
"1","2024/08/25","ENEOS-SS","-3000","三井住友カード","自動車","ガソリン","","0","qBrIZrS0nRSAtnsmB-8tcRflVZfun5IYOhTCflPpLoY"
"1","2024/08/24","PayPay ファミリーマート","-2720","PayPayカード","食費","食料品","","0","GjDwRcsTiqGqmCQZKpQyPWAMiuob4puaO46QKHdyVvQ"
"1","2024/08/24","マコなり社長","-3000","三井住友カード","教養・教育","その他教養・教育","","0","xU3ABkqwVQqkprFyFNgCllLsshcOTS_umDG_PYPjPWI"
"1","2024/08/23","コカ・コーラ Cmode 自販機/iD","-140","三井住友カード","食費","食料品","","0","WerDetpzlDKDVbAGuuCExFE1LxmTQQsiPCg8bW6h3_M"
"1","2024/08/23","コメダ珈琲店","-1000","三井住友カード","食費","カフェ","","0","jfLrz8h2nw-dezTDsOuWU63NQsA8eAxN_ogXDM2hph4"
"1","2024/08/22","PayPay ドラッグストアセキ","-658","PayPayカード","日用品","ドラッグストア","","0","QRFW7wSkMcmqmZTjFO1Qs8pUKKX_QsnYYrkGA5Bk-vQ"
