"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/07/31","PayPay 吉野家","-704","PayPayカード","食費","食費","","0","qIJOEXWMUUP8b3_Vt-DqCNVre-PE4UrjvB-sh2sABRI"
"1","2024/07/31","PayPay ファミリーマート","-1319","PayPayカード","食費","食料品","","0","40Nkev7JcgiJy06-6-KvmHCXYfEEsFcexihTlcMtXBk"
"1","2024/07/31","カードC1","-30000","三菱UFJ銀行","現金・カード","ATM引き出し","","0","TLc41mVYSVuG9fpSyYyxqmaMrwxS6ZY-Kpi0i_wEiRs"
"1","2024/07/30","BACKBONE One モバイルゲームコントローラー for Android & iPhone 15シリーズ(USB-C)- PlayStationエディション - 第2世代 - あなたの電話をゲームコンソールに変える - Xbox、PlayStation、およびアプリゲームをプレイ(Apple Arcade 3ヶ月間付き) 販売: Backbone Labs Inc.","-19800","Amazon.co.jp","特別な支出","家具・家電","","0","Fv_LmF8Kxm92zkyzW_bhJ1UzXQoNMjRIMaJ4MrkRVBg"
"0","2024/07/30","ラクテンカ-ドサ-ビス","-135128","楽天銀行","現金・カード","カード引き落とし","","1","0nV4Ltl8WknspIFDTH4ljSnwPU8XksQtc5PZO28rhZg"
"1","2024/07/30","楽天銀行 フ-ガ支店 普通預金 3378281 西野 美紀(依頼人名:スエタケ シユウヘイ 内容: 振込予定日:2024年07月30日 管理番号:20240730-22968828)","-20000","楽天銀行","未分類","未分類","","0","Sp2N9XxNc5R5y6Wgubv8jfLiDJzYtumSwFCceLhooMI"
"1","2024/07/30","スエタケ シユウヘイ","160000","楽天銀行","未分類","未分類","","0","89Z1JyJ74yI0gHce9EygQTvkzlqmk7LzyWEfmS8LclI"
"1","2024/07/30","PayPay ファミリーマート","-1160","PayPayカード","食費","食料品","","0","wKqHUWYS1Rq22OBZ0Q4aG3exh3qeY_kCH1eEOvQWUho"
"0","2024/07/30","AMAZON.CO.JP","-10321","三井住友カード","教養・教育","書籍","","1","4v5dynAGiIm0l4wjS5K3oC6Rkf4g8YQskiU7dP_rlys"
"1","2024/07/30","ケンタッキーフライドチキン/iD","-1150","三井住友カード","食費","食費","","0","-hrOwq8CkJVuE2xkV6dAexxoLXh5s2v1nFtdkixmCng"
"1","2024/07/30","コカ・コーラ Cmode 自販機/iD","-180","三井住友カード","食費","食料品","","0","22-lqkXyV3YhBtBJpIfO3qbIlrcjubbTiSCV7iK_0pc"
"1","2024/07/30","振込IB2 スエタケ シユウヘイ","-160000","三菱UFJ銀行","未分類","未分類","","0","SkG8h_f9bwYKj4mmnuT_fkpOBJrRgUbTmFp6RtWog9Q"
"1","2024/07/29","セブン-イレブン/iD","-1160","三井住友カード","食費","食料品","","0","bEvHNKWfbiBfIEgMg3iPnMFLBbTv8KhXSwmtQ5N40Os"
"1","2024/07/29","nanaco Apple Pay チャー","-1000","三井住友カード","通信費","その他通信費","","0","Sgd1s0i9WeD20Ugxyo1gFPXqsMUSVUofTqyntkagA-M"
"0","2024/07/29","口座振替3 ペイペイカ-ド","-61668","三菱UFJ銀行","未分類","未分類","","1","EqKIV36x0geo2qDRCJV854wnyyIkXLyR8RzaAJ3X1O8"
"1","2024/07/29","口座振替3 NSS.ボスジムジ","-11440","三菱UFJ銀行","未分類","未分類","","0","UkA2u9AUlDmDdLv7pDWXv5cpkHAgFdMGaevV4W4f6UU"
"1","2024/07/29","口座振替4 オリコ","-8033","三菱UFJ銀行","現金・カード","カード引き落とし","","0","tOZjHuVIVejut2VHnlIcb9AA0XuU-8K_KD-G5YPly9A"
"1","2024/07/29","振込1 ヒグチ トモキ","440000","三菱UFJ銀行","未分類","未分類","","0","FXAnXQSkNjTEIpBGk2uOiwId3g1FJWxPBea9ZipOMuk"
"1","2024/07/28","シャオミ(Xiaomi) ワイヤレスイヤホン Redmi Buds 6 Active AI 通話ノイズキャンセリング Bluetooth 5.3 低遅延 重低音 Google Fast Pair対応 急速充電 USB Type-C 小型軽量 ブラック 販売: Amazon.co.jp","-1980","Amazon.co.jp","通信費","情報サービス","","0","R98fN5i2RLuMlObteaX3qnlCkfD3bdeKBkABAepvAtQ"
"1","2024/07/28","PayPay 吉野家","-1207","PayPayカード","食費","食費","","0","Cx-tZAW9ikiRsDFsAAtpxN18ZpWZ46H_eGLB0Tn2YoA"
"1","2024/07/28","イオン 浦和美園/iD","-1869","三井住友カード","日用品","日用品","","0","lqD4dCdoErTyH9VJgwA2NqTmkNVGaEK9zzHugZP2MfQ"
"1","2024/07/28","イオン 浦和美園/iD","-2414","三井住友カード","日用品","日用品","","0","OybgKXALgyXDuUukf7OOF6rZB-l0Q8sAh55OxAOVrP0"
"1","2024/07/28","GOOGLE *GOOGLE ONE (650-253-0000 )","-250","三井住友カード","通信費","情報サービス","","0","clv2rSxbWXx4jR7nZvgrGIxWrL88ToZueDP1YNxPyac"
