"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/11/30","PayPay ダイソー","-330","PayPayカード","日用品","日用品","","0","7zAyIv-HsT5lN0wPgGzt5DcsU6e_BtG4c2rZAJ77JAU"
"1","2024/11/30","PayPay ミニストップ","-580","PayPayカード","食費","食料品","","0","9T39t_GMTiS3FeZUKXiO38pN_nSOYTt1KG_2QpN6x3I"
"1","2024/11/30","PayPay ガーデン","-1420","PayPayカード","食費","食費","","0","XzKPn0v8SWjrdSm1dnqKnfmcwPzfC3luVU0aJimEGZ0"
"1","2024/11/30","サイゼリヤ/NFC","-2950","楽天カード","未分類","未分類","","0","rN3Pnp2KF2g0c51L-zXCoN7eFM5DVDFYxQhz7KpkDHM"
"1","2024/11/29","ラクテンカ-ドサ-ビス","-21233","楽天銀行","現金・カード","カード引き落とし","","0","ONQPLY2E-tdlB0gT_8vFX_UNTch4qyWUMsksqJGKB-4"
"1","2024/11/29","スエタケ シユウヘイ","20000","楽天銀行","未分類","未分類","","0","z6AoT-aoahEPA7zNm-VETwt4fNHG0SdFABV4bWzBOXQ"
"1","2024/11/29","PayPay セブンーイレブン","-580","PayPayカード","食費","食料品","","0","6QiU-PcAqARj5xyUq0v3BC_E_shZz4oaR4ksu7XTE_E"
"1","2024/11/29","PayPay ベローチェ","-730","PayPayカード","未分類","未分類","","0","W4XH32A6UMAe--MgHPKg6pWK3sLbun8sdiY8Iipw2vg"
"1","2024/11/29","PayPay 吉野家","-1075","PayPayカード","食費","食費","","0","b1hqBzOtThKdnPafnsURlZy86sPA0feJnP5paLjIBIc"
"1","2024/11/29","PayPay コメダ珈琲店","-1290","PayPayカード","食費","カフェ","","0","CNpbaqu-fF0OUd4W5oCne5prQJV9YW8ut3YfmQZu_Oc"
"1","2024/11/29","Suica(携帯決済)","-2000","楽天カード","現金・カード","電子マネー","","0","ngPRqKwAENL7GwBjJyUcea7ETqkjHIvJaZ_wzFFxCpk"
"1","2024/11/29","為替手数料 フリコミ テスウリヨウ","-220","三菱UFJ銀行","その他","雑費","","0","dedB6hCPZqB-DujgVPZj7sGsLV-WOkVWZP_lrGX5Gak"
"1","2024/11/29","振込IB2 ペイペイカ-ド(カ","-63006","三菱UFJ銀行","未分類","未分類","","0","4jv0FcKGYoaEql-IjnjIBJn99TEs13y8EgAbuk9bXdo"
"1","2024/11/28","PayPay セブンーイレブン","-742","PayPayカード","食費","食料品","","0","zCKVjDRlP1fVpQKOyQXqCnH8b88M41wwjLnBMjJZZuY"
