"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/04/30","楽天銀行 フ-ガ支店 普通預金 3378281 西野 美紀(依頼人名:スエタケ シユウヘイ 内容: 振込予定日:2024年04月30日 管理番号:20240430-19817448)","-20000","楽天銀行","未分類","未分類","","0","Nqm6fhoYVx9ZV4IW4Z2Oww3AcDWvHqlov7TkVPyzSnw"
"1","2024/04/30","スエタケ シユウヘイ","20000","楽天銀行","未分類","未分類","","0","lydJasztewHVY71Mk0P78a1cmKyVWjQTkwWHTHVSSu4"
"1","2024/04/30","セブン-イレブン/iD","-150","三井住友カード","食費","食料品","","0","TbQ2iAXmKC8gEeMUcU3WBVgyqB1TcxVVC6LS3fdDvk0"
"1","2024/04/30","セブン-イレブン/iD","-2122","三井住友カード","食費","食料品","","0","hNCMQFzrCpPetlqlZf7cMBMoDi9uV7grzieJqqDLbBs"
"1","2024/04/30","振込IB1 アコム(カ","-70000","三菱UFJ銀行","未分類","未分類","","0","SdXSre7h0Ze9Pt0ck2fBVD8OH0h5shfkYPGacNwi07U"
"0","2024/04/30","口座振替3 ペイペイカ-ド","-61500","三菱UFJ銀行","未分類","未分類","","1","NfXKkiYN5PYWDHfq71M5Ec2lrNPO5h4U_gxhlrCUuws"
"1","2024/04/30","口座振替4 オリコ","-8033","三菱UFJ銀行","現金・カード","カード引き落とし","","0","g48zrVlEl0CXeSfnKPq6c5fgrSPjyYcktt0PfTGajVM"
"1","2024/04/30","口座振替3 NSS.ボスジムジ","-5720","三菱UFJ銀行","未分類","未分類","","0","SjKbRtOvy5uywb4eI04bW65gXQ_LybxG5zTdB9jyzZI"
"1","2024/04/29","星野家の手作りマッサージ塩 ボディスクラブ ヘッドスクラブ 【大容量950g】 スクラブ ボディ 頭皮 お尻 販売: 星野家の塩 公式ストア","-2750","Amazon.co.jp","未分類","未分類","","0","JnI7wTwUggEb0lrLkVf28o0xLTVAcz7LhekAbrmPelk"
"1","2024/04/29","YOLU ヨル | シャンプー トリートメント セット 詰め替え 【リラックスナイトリペア】 販売: [公式]【BOTANIST/SALONIA/YOLU メーカーオフィシャルサイト】アンドハビット","-2057","Amazon.co.jp","未分類","未分類","","0","_Rj6NMyvoo5FeI_vW2c-cvn6PA-DYipM3zbrmBDMukw"
"1","2024/04/29","ニンテンドーEショップ","-2530","楽天カード","未分類","未分類","","0","duf4hHeSKF7LXAcLGpW9sfcmOHK6aHUwqyq7ElZrgGs"
"1","2024/04/29","APPLE COM BILL","-700","楽天カード","通信費","その他通信費","","0","NMob0ZKevfeQovvaC1iveBBJsgZ-Xfe6K7jlKwUG0IM"
"1","2024/04/29","イオン 浦和美園/iD","-1420","三井住友カード","日用品","日用品","","0","hIx-6ke-asDiN0b7AVuYPgNV_zcJ4Aglrj0Zvy71VCk"
"1","2024/04/29","イオン 浦和美園/iD","-2750","三井住友カード","日用品","日用品","","0","XbQlQ7yMq8bjFOKcYYYiPjxJUJsDsSN9yCv_Y_bCeB4"
"1","2024/04/29","セブン-イレブン/iD","-1160","三井住友カード","食費","食料品","","0","GOlswnwJnpmJlz4aw80AcmhxvcBkm7jAWd2UkjRX5pA"
"1","2024/04/29","スターバックス コーヒー ジャパン/AP","-1000","三井住友カード","食費","カフェ","","0","Ni-ctuUcE0gp3ojBZBc_IM5QBErnxNIW4khiB4FH_Ls"
"1","2024/04/29","PM *SHIJIESHU YUNSHUO (HONGKONG )","-3200","三井住友カード","未分類","未分類","","0","RGHuiMc9Hwsre783sEJGyOWLAi7wKRZZ4RpLvmVy3wo"
"1","2024/04/29","ゲオ 東浦和店","-6607","三井住友カード","趣味・娯楽","映画・音楽・ゲーム","","0","hjVJIdNaeSh2plIt3nNwvEkpKb7HJx0j2yrETpiu6UA"
"0","2024/04/29","AMAZON.CO.JP","-4807","三井住友カード","教養・教育","書籍","","1","aUs7gk6UrxPQ3dsrn2iVSSTCVrStwecMPT-wM2JWpLM"
"1","2024/04/29","JD支払 JD /ジ-ユ-","-2490","三菱UFJ銀行","衣服・美容","衣服","","0","Wc5rskh_kKy-Q63mTTJ_x8gsDSjGp19-ZTN_N4K5DIo"
"1","2024/04/29","JD支払 JD /ユニクロ","-14740","三菱UFJ銀行","衣服・美容","衣服","","0","FwtsAncPRzWaPpJSSGbeYMFm52izXiIFxLpLjV7V_ck"
"1","2024/04/28","APPLE COM BILL","-1500","楽天カード","通信費","その他通信費","","0","0QSWeKrnYttjkhOP_X7xsLia61nqVf0xE7jisWl14Cg"
"1","2024/04/28","APPLE COM BILL","-700","楽天カード","通信費","その他通信費","","0","ii-tsPdjpT-tfaHRqAv3Wdks3DHBuFqAO7aFDvMsfTk"
"1","2024/04/28","APPLE COM BILL","-1400","楽天カード","通信費","その他通信費","","0","IvNpWTxD2X40jfQcUV2OENMDpqJuNK9Bk9eUN0Vi3Eo"
"1","2024/04/28","APPLE COM BILL","-2200","楽天カード","通信費","その他通信費","","0","UnPeaz-LMhDjuRBZu8wsKNgPkzO1OFSPT2o6F36Qhok"
